objectid,pcon16cd,pcon16nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
22,E14000551,Beckenham,540141,167041,0.012564,51.38512039,35235062.8180949,28755.4093251964
23,E14000552,Bedford,505470,248675,-0.46072,52.12633896,34007566.8621925,29164.3536340087
24,E14000553,Bermondsey and Old Southwark,533846,178919,-0.07335,51.4933815,10910830.2416196,16734.1574336087
25,E14000554,Berwick-upon-Tweed,404456,611882,-1.93120003,55.40085983,2387620565.41022,300212.995201794
26,E14000555,Bethnal Green and Bow,535339,182777,-0.05038,51.52769089,9528737.06402021,13550.2591779248
27,E14000556,Beverley and Holderness,523478,430751,-0.12853,53.75851059,779966722.147848,185381.618992471
28,E14000557,Bexhill and Battle,572483,119019,0.453915,50.94480133,529666131.671241,144860.459679296
29,E14000558,Bexleyheath and Crayford,549971,175943,0.157489,51.46258926,23890916.2727107,21577.4493291073
30,E14000559,Birkenhead,330482,388287,-3.04668999,53.38684082,24202385.334431,20997.1938882112
31,E14000560,"Birmingham, Edgbaston",402500,283463,-1.96463001,52.44913101,28580277.9106664,24893.8974478504
32,E14000561,"Birmingham, Erdington",410573,292673,-1.84555995,52.53182983,21838574.7615935,21613.7285478991
33,E14000562,"Birmingham, Hall Green",408501,282513,-1.87636006,52.44052887,19026127.684103,21637.5474146312
35,E14000564,"Birmingham, Ladywood",407075,288133,-1.89722002,52.49108124,24816068.0560861,30953.1250829887
36,E14000565,"Birmingham, Northfield",401888,279459,-1.97365999,52.41313934,25492538.0852334,27636.1628321568
37,E14000566,"Birmingham, Perry Barr",406035,291868,-1.91246998,52.52466965,26110414.2741138,25473.1799535552
38,E14000567,"Birmingham, Selly Oak",406396,280770,-1.90735996,52.42488861,21495606.9311966,25781.5648375227
39,E14000568,"Birmingham, Yardley",412993,284792,-1.81018996,52.46092987,21135231.5162275,24428.0145279179
40,E14000569,Bishop Auckland,400989,521813,-1.98620999,54.59151077,921872907.141177,175677.268144418
41,E14000570,Blackburn,367090,427991,-2.50049996,53.74726105,39690914.8460344,26861.7581946793
42,E14000571,Blackley and Broughton,384164,401961,-2.2402699,53.51409912,27340508.1083253,29224.56273164
